"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
45892,TEXAS                    ,SMITH,"-597,532","-283,835","-1,021,523","-1,056,026","-914,849","-228,821",,,,,,
45893,TEXAS                    ,SOMERVELL,"-73,959","-30,287","-52,096","-37,128","-23,432","-144,049",,,,,,
45900,TEXAS                    ,STARR,"-2,733,648","-2,919,586","-2,350,350","-2,208,440","-1,590,853","-24,423",,,,,,
45901,TEXAS                    ,STEPHENS,"-85,261","-75,544","-63,279","-63,723","-25,512","-186,682",,,,,,
45902,TEXAS                    ,STERLING,"-23,361","-26,149","-17,460","-7,680","-14,759","-95,699",,,,,,
45903,TEXAS                    ,STONEWALL,"-16,490","-21,071","-13,924","-15,882","-16,377",-947,,,,,,
45904,TEXAS                    ,SUTTON,"-65,184","-124,099","-53,449","-48,129","-43,753","-7,484",,,,,,
45905,TEXAS                    ,SWISHER,"-70,224","-80,239","-62,464","-70,067","-23,222","-2,737",,,,,,
45910,TEXAS                    ,TARRANT,"-642,647","313,522","958,461","1,289,811","1,399,610","-1,644",,,,,,
45911,TEXAS                    ,TAYLOR,"-856,420","-896,914","-918,977","-991,870","-562,844","-66,239",,,,,,
45912,TEXAS                    ,TERRELL,"-17,558","-3,014","-16,271","-56,053","-6,680",-162,,,,,,
45913,TEXAS                    ,TERRY,"-97,498","-98,896","-109,637","-71,640","-76,869","-4,276,408",,,,,,
45920,TEXAS                    ,THROCKMORTON,"-18,801","-20,025","-12,413","-20,835","-13,558","-132,039",,,,,,
45921,TEXAS                    ,TITUS,"-246,662","-382,355","-428,754","-322,913","-105,627","-1,226",,,,,,
45930,TEXAS                    ,TOM GREEN,"-1,670,054","-1,918,442","-1,823,294","-1,321,295","-807,212","-5,400",,,,,,
45940,TEXAS                    ,TRAVIS,"-145,831","-1,380,239","-2,991,542","-2,323,941","-1,915,657","-92,806",,,,,,
45941,TEXAS                    ,TRINITY,"-210,133","-208,845","-238,433","-170,238","-124,496",-983,,,,,,
45942,TEXAS                    ,TYLER,"-180,498","-191,810","-89,262","-204,187","-130,366","-62,388",,,,,,
45943,TEXAS                    ,UPSHUR,"-275,545","-240,200","-465,971","-404,450","-276,243","-1,693,034",,,,,,
45944,TEXAS                    ,UPTON,"-32,653","-55,072","-42,921","-50,391","-16,148","-38,842",,,,,,
45945,TEXAS                    ,UVALDE,"-384,697","-359,848","-348,813","-289,863","-181,156","-21,273",,,,,,
45946,TEXAS                    ,VAL VERDE,"-338,591","-340,100","-356,879","-358,726","-222,142","-68,641",,,,,,
45947,TEXAS                    ,VAN ZANDT,"-328,716","-226,841","-331,433","-315,522","-257,587","-67,304",,,,,,
45948,TEXAS                    ,VICTORIA,"-1,045,597","-916,242","-828,208","-729,260","-373,816","-32,800",,,,,,
45949,TEXAS                    ,WALKER,"-446,483","-366,473","-336,925","-236,866","-114,177","-32,541",,,,,,
45950,TEXAS                    ,WALLER,"-83,428","-98,615","-79,116","144,331","-60,582","-9,540",,,,,,
45951,TEXAS                    ,WARD,"-125,593","-179,911","-146,026","-141,589","-56,944","-96,352",,,,,,
45952,TEXAS                    ,WASHINGTON,"-349,797","-394,144","-635,866","-468,792","-299,598","-13,966",,,,,,
45953,TEXAS                    ,WEBB,"-6,621,305","-6,651,387","-6,185,307","-6,126,727","-3,536,425","-1,540",,,,,,
45954,TEXAS                    ,WHARTON,"-299,414","-300,072","-242,320","-114,835","-111,623",644,,,,,,
45955,TEXAS                    ,WHEELER,"-52,893","-46,072","-19,652","-48,882","-42,741","-11,189",,,,,,
45960,TEXAS                    ,WICHITA,"-2,078,510","-2,369,517","-2,607,404","-2,496,168","-1,581,273","-36,538",,,,,,
45961,TEXAS                    ,WILBARGER,"-142,814","-195,726","-194,640","-168,606","-96,905","-9,456",,,,,,
45962,TEXAS                    ,WILLACY,"-772,320","-782,465","-607,381","-610,589","-390,687","-299,808",,,,,,
45970,TEXAS                    ,WILLIAMSON,"47,231","-580,344","-1,730,518","-1,659,444","-1,361,288","-7,966",,,,,,
45971,TEXAS                    ,WILSON,"-373,958","-391,129","-354,490","-290,233","-238,976","-50,455",,,,,,
45972,TEXAS                    ,WINKLER,"-54,970","-104,783","-117,795","-81,438","-55,485","-117,910",,,,,,
45973,TEXAS                    ,WISE,"-209,984","-72,241","-96,836","-1,557","180,378","-13,131",,,,,,
45974,TEXAS                    ,WOOD,"-337,956","-241,197","-388,394","-421,825","-305,247","-20,197",,,,,,
45980,TEXAS                    ,YOAKUM,"-61,719","-51,231","-55,934","-62,209","-39,702","-82,408",,,,,,
45981,TEXAS                    ,YOUNG,"-337,980","-395,091","-335,066","-244,305","-169,251","-62,257",,,,,,
45982,TEXAS                    ,ZAPATA,"-634,588","-603,460","-463,758","-370,757","-203,518",-591,,,,,,
45983,TEXAS                    ,ZAVALA,"-168,171","-81,593","-76,313","-91,738","-35,348",-115,,,,,,
46000,UTAH                     ,BEAVER,"-2,442","-1,282",25,"-3,921","-5,286","-63,051",,,,,,
46010,UTAH                     ,BOX ELDER,"15,484","23,961","32,557","-58,833","-68,042","-3,595",,,,,,
46020,UTAH                     ,CACHE,"114,418","147,927","118,823","147,125","76,710","-4,827",,,,,,
46030,UTAH                     ,CARBON,"-44,957","-1,452","-72,800","-77,818","-86,680","-35,792",,,,,,
46040,UTAH                     ,DAGGETT,"-3,384","2,292","-6,857",-471,"-4,302","-1,751",,,,,,
46050,UTAH                     ,DAVIS,"406,339","241,817","316,532","141,197","-48,094","-55,513",,,,,,
46060,UTAH                     ,DUCHESNE,"2,971","5,566","9,220","9,961","-11,421","-11,405",,,,,,
46070,UTAH                     ,EMERY,"-10,449","-11,360",199,"-44,584","42,868","2,927",,,,,,
46080,UTAH                     ,GARFIELD,"7,330","-2,699",998,"-4,178","2,000","-6,376",,,,,,
46090,UTAH                     ,GRAND,"-4,674","4,304","3,759","-5,477","-33,414","-26,049",,,,,,
46100,UTAH                     ,IRON,"-23,792","-26,847","-2,049","-27,460","-20,493","-28,206",,,,,,
46110,UTAH                     ,JUAB,"-1,650","5,371","13,418","-12,943","-10,150","-23,382",,,,,,
46120,UTAH                     ,KANE,"-11,266","-27,849","-8,090","-20,157","-6,382","-121,362",,,,,,
46130,UTAH                     ,MILLARD,"-11,261","46,870","14,707","-6,882","1,862","-24,044",,,,,,
46140,UTAH                     ,MORGAN,"7,458",725,"-6,259","-14,307","-12,504","-2,632",,,,,,
46150,UTAH                     ,PIUTE,"4,212","-2,995",-742,"-10,332","-1,670","-10,744",,,,,,
46160,UTAH                     ,RICH,"3,249","1,560","1,086","3,771",-905,"-35,981",,,,,,
46170,UTAH                     ,SALT LAKE,"1,708,525","1,901,902","1,841,867","1,561,567","836,884","-171,120",,,,,,
46180,UTAH                     ,SAN JUAN,"-1,535","-1,370","26,226",317,"-32,331","-2,927",,,,,,
46190,UTAH                     ,SANPETE,"-42,744","36,511","-15,265","10,316","44,110","-7,970",,,,,,
46200,UTAH                     ,SEVIER,"-8,002","-6,279","28,366","-70,061","-61,703","-288,360",,,,,,
46210,UTAH                     ,SUMMIT,"-10,343","41,207","49,233","12,456","-46,270",-533,,,,,,
46220,UTAH                     ,TOOELE,"41,431","55,243","33,775","12,146","-69,080","-7,750",,,,,,
46230,UTAH                     ,UINTAH,"-13,615","-8,855","10,683","-12,277","-7,588","-24,573",,,,,,
46240,UTAH                     ,UTAH,"682,324","926,647","844,911","827,261","530,315","-4,661",,,,,,
46250,UTAH                     ,WASATCH,"15,787","14,031","80,692","50,612",-293,"-4,298",,,,,,
46260,UTAH                     ,WASHINGTON,"-96,953","-105,836","-15,997","-73,006","-72,418","-39,461",,,,,,
46270,UTAH                     ,WAYNE,"-8,979","2,505","-14,986","-9,270","-3,244","-94,086",,,,,,
46280,UTAH                     ,WEBER,"81,093","116,649","-59,081","-140,446","-223,040","-65,220",,,,,,
47000,VERMONT                  ,ADDISON,"-245,625","-223,529","-155,836","-183,806","-170,204","-3,372",,,,,,
47010,VERMONT                  ,BENNINGTON,"-51,326","-262,135","-283,555","-346,930","-300,806","-140,464",,,,,,
47020,VERMONT                  ,CALEDONIA,"-100,207","-143,949","-90,817","-142,876","-150,702","-43,720",,,,,,
47030,VERMONT                  ,CHITTENDEN,"-1,322,673","-1,293,146","-940,055","-1,024,696","-711,698","-5,236",,,,,,
47040,VERMONT                  ,ESSEX,"-28,204","-30,323","-29,509","-26,904","-27,413","-4,421",,,,,,
47050,VERMONT                  ,FRANKLIN,"-363,817","-337,464","-252,271","-244,139","-228,732","-2,691",,,,,,
47060,VERMONT                  ,GRAND ISLE,"-74,773","-53,970","-67,084","-74,564","-54,182","-692,230",,,,,,
47070,VERMONT                  ,LAMOILLE,"-249,856","-289,248","-262,854","-226,949","-203,640","-4,918",,,,,,
47080,VERMONT                  ,ORANGE,"-97,449","-142,068","-143,851","-155,213","-122,397","-12,415",,,,,,
47090,VERMONT                  ,ORLEANS,"-93,092","-77,913","-112,544","-134,601","-124,634",-614,,,,,,
47100,VERMONT                  ,RUTLAND,"-240,389","-1,072,242","-202,020","-308,800","-220,801","-37,960",,,,,,
47110,VERMONT                  ,WASHINGTON,"-302,098","-778,400","-254,941","-312,593","-230,756","-35,667",,,,,,
47120,VERMONT                  ,WINDHAM,"-238,344","-284,522","-249,813","-319,737","-248,652","-12,790",,,,,,
47130,VERMONT                  ,WINDSOR,"-262,832","-219,725","-244,401","-333,980","-346,777","-10,596",,,,,,
48010,VIRGIN ISLANDS           ,ST. CROIX,"-36,714","-90,711","-114,545","-6,287","-52,273","-343,836",,,,,,
48020,VIRGIN ISLANDS           ,ST. JOHN,"-60,710","6,323","-156,106","-36,893","-87,211","-2,214",,,,,,
49000,VIRGINIA                 ,ACCOMACK,"-126,898","-121,627","-102,030","-129,674","-74,392","-2,430",,,,,,
49010,VIRGINIA                 ,ALBEMARLE,"-93,250","-165,420","-146,370","-361,163","-350,279","-129,817",,,,,,
49011,VIRGINIA                 ,ALEXANDRIA CITY,"13,051","-191,443","-415,246","-605,308","-442,414","-18,046",,,,,,
49020,VIRGINIA                 ,ALLEGHANY,"-11,733","-3,564","-7,881","-7,414","-5,152","-23,559",,,,,,
49030,VIRGINIA                 ,AMELIA,"48,130","33,495","-3,002","9,334","-11,685","-65,166",,,,,,
49040,VIRGINIA                 ,AMHERST,"-556,454","-576,084","-657,102","-763,116","-97,435","-4,357",,,,,,
49050,VIRGINIA                 ,APPOMATTOX,"-288,780","-309,477","-306,302","-303,984","-37,148","-12,175",,,,,,
49060,VIRGINIA                 ,ARLINGTON,"-33,103","-65,787","-136,397","-112,663","-79,699",-373,,,,,,
49070,VIRGINIA                 ,AUGUSTA,"-184,431","-208,626","-236,570","-224,538","-271,584","-121,806",,,,,,
49080,VIRGINIA                 ,BATH,"-48,805","-56,990","-34,803","-39,478","-37,345",-593,,,,,,
49088,VIRGINIA                 ,BEDFORD CITY,"-327,147","-285,840","-226,993","-316,911","-66,537","-132,906",,,,,,
49090,VIRGINIA                 ,BEDFORD,"-664,145","-779,598","-815,693","-987,036","-482,419","-12,884",,,,,,
49100,VIRGINIA                 ,BLAND,"-65,653","-94,572","-116,392","-76,077","-76,808","-22,737",,,,,,
49110,VIRGINIA                 ,BOTETOURT,"-142,365","-243,822","-229,536","-307,364","-213,632","-21,504",,,,,,
49111,VIRGINIA                 ,BRISTOL CITY,"-130,154","-67,354","-58,580","-25,348","16,629",-727,,,,,,
49120,VIRGINIA                 ,BRUNSWICK,"-140,031","-105,834","-89,673","-174,318","-159,002","-8,552",,,,,,
49130,VIRGINIA                 ,BUCHANAN,"-175,619","-134,786","-125,465","-120,236","-74,972","-2,398",,,,,,
49140,VIRGINIA                 ,BUCKINGHAM,"-28,437","-44,782","-58,433","-109,117","-90,449","-11,426",,,,,,
49141,VIRGINIA                 ,BUENA VISTA CITY,"-29,786","-45,470","-37,241","-56,971","-57,717","-8,716",,,,,,
49150,VIRGINIA                 ,CAMPBELL,"-699,557","-828,406","-891,097","-977,851","-83,448",-661,,,,,,
49160,VIRGINIA                 ,CAROLINE,"197,326","182,177","60,324","-27,139","-41,600","-4,065",,,,,,
49170,VIRGINIA                 ,CARROLL,"-160,891","-165,005","-180,707","-170,298","-166,483","-65,559",,,,,,
49180,VIRGINIA                 ,CHARLES CITY,"11,216","4,540","-1,524",-349,"-17,296","-10,019",,,,,,
49190,VIRGINIA                 ,CHARLOTTE,"-170,283","-240,121","-262,831","-279,816","-64,351","-46,123",,,,,,
49191,VIRGINIA                 ,CHARLOTTESVILLE CITY,"-63,741","-146,326","-187,481","-386,981","-559,258","-20,281",,,,,,
49194,VIRGINIA                 ,CHESAPEAKE CITY,"142,656","85,526","-123,706","-335,920","-755,393","-7,902",,,,,,
49200,VIRGINIA                 ,CHESTERFIELD,"530,005","326,280","-28,405","-308,761","-473,487","-46,039",,,,,,
49210,VIRGINIA                 ,CLARKE,"2,512","-16,138","-22,112","-32,294","-25,522","-64,344",,,,,,
49212,VIRGINIA                 ,COLONIAL HEIGHTS CITY,"-163,102","-98,906","-111,482","-90,819","-128,974","-5,029",,,,,,
49213,VIRGINIA                 ,COVINGTON CITY,"-32,580","-73,879","-80,094","-94,483","-104,562","-4,340",,,,,,
49220,VIRGINIA                 ,CRAIG,"-9,078","-19,185","-11,866","-24,003","-22,711","-9,714",,,,,,
49230,VIRGINIA                 ,CULPEPER,"-132,916","-299,365","-305,167","-425,454","-395,560","-2,816",,,,,,
49240,VIRGINIA                 ,CUMBERLAND,"-25,833","-1,329","-11,398","-10,273","4,410","-22,405",,,,,,
49241,VIRGINIA                 ,DANVILLE CITY,"-936,833","-932,326","-1,349,997","-908,384","-780,444","-1,828",,,,,,
49250,VIRGINIA                 ,DICKENSON,"-199,526","-180,021","-129,714","-91,720","-57,596","-267,990",,,,,,
49260,VIRGINIA                 ,DINWIDDIE,"-160,258","-155,343","-155,282","-103,674","-153,927","-4,786",,,,,,
49270,VIRGINIA                 ,EMPORIA CITY,"-192,476","-177,752","-83,113","-122,761","-108,664","-168,726",,,,,,
49280,VIRGINIA                 ,ESSEX,"8,256",394,"-10,180","-60,440","-27,915","-6,048",,,,,,
49288,VIRGINIA                 ,FAIRFAX CITY,"150,423","93,391","-68,509","-112,695","-228,586",-536,,,,,,
49290,VIRGINIA                 ,FAIRFAX,"42,868","-88,251","-847,760","-1,175,801","-1,442,362","-3,060",,,,,,
49291,VIRGINIA                 ,FALLS CHURCH CITY,"-2,769","-9,262",-78,"-22,497","-38,812","-1,632",,,,,,
49300,VIRGINIA                 ,FAUQUIER,"235,190","139,345","23,786","-99,081","-164,868","-8,406",,,,,,
49310,VIRGINIA                 ,FLOYD,"-72,999","-103,744","-91,188","-112,808","-98,707","-1,188,630",,,,,,
49320,VIRGINIA                 ,FLUVANNA,"-42,531","-46,826","-81,992","-169,073","-166,948","-100,508",,,,,,
49328,VIRGINIA                 ,FRANKLIN CITY,"-66,964","-73,898","-96,180","-92,556","-117,740","-1,517",,,,,,
49330,VIRGINIA                 ,FRANKLIN,"-420,864","-449,538","-447,329","-498,985","-511,357","-6,471",,,,,,
49340,VIRGINIA                 ,FREDERICK,"-20,189","-58,084","-120,052","-116,847","-64,525",-513,,,,,,
49342,VIRGINIA                 ,FREDERICKSBURG CITY,"602,690","536,931","184,405","-55,093","-175,821","-15,659",,,,,,
49343,VIRGINIA                 ,GALAX CITY,"-141,743","-116,460","-83,003","-109,898","-92,871",-213,,,,,,
49350,VIRGINIA                 ,GILES,"-99,975","-168,661","-155,198","-138,639","-159,897","-77,779",,,,,,
49360,VIRGINIA                 ,GLOUCESTER,"-142,371","-124,956","-185,962","-215,319","-269,049","-792,279",,,,,,
49370,VIRGINIA                 ,GOOCHLAND,"73,616","66,676","4,324","4,346","-47,074","-32,021",,,,,,
49380,VIRGINIA                 ,GRAYSON,"-77,518","-111,308","-102,760","-92,296","-92,313","-25,465",,,,,,
49390,VIRGINIA                 ,GREENE,"-12,789","-47,140","-57,198","-127,883","-141,900","-38,171",,,,,,
49400,VIRGINIA                 ,GREENSVILLE,"-31,033","-52,440","-34,696","-39,163","-52,011","-3,785",,,,,,
49410,VIRGINIA                 ,HALIFAX,"-628,832","-685,404","-660,067","-477,652","-256,831","-37,541",,,,,,
49411,VIRGINIA                 ,HAMPTON CITY,"-883,813","-675,549","-852,528","-723,956","-829,204","-31,785",,,,,,
49420,VIRGINIA                 ,HANOVER,"437,305","87,188","-146,562","-63,494","-110,786","-56,546",,,,,,
49421,VIRGINIA                 ,HARRISONBURG CITY,"-272,179","-314,758","-306,796","-101,553","-86,948","-72,576",,,,,,
49430,VIRGINIA                 ,HENRICO,"1,350,627","779,055","161,071","6,030","-324,727","-106,001",,,,,,
49440,VIRGINIA                 ,HENRY,"-330,015","-315,787","-397,473","-339,841","-422,770","-16,354",,,,,,
49450,VIRGINIA                 ,HIGHLAND,"-4,824","-19,566","-13,249","-16,191","-14,119","-7,042",,,,,,
49451,VIRGINIA                 ,HOPEWELL CITY,"-114,243","-105,125","-90,168","-160,675","-137,650","-36,532",,,,,,
49460,VIRGINIA                 ,ISLE OF WIGHT,"-207,208","-205,863","-203,185","-276,669","-221,561","-331,439",,,,,,
49470,VIRGINIA                 ,JAMES CITY,"-93,274","-85,417","-88,579","-116,675","-123,396","-48,297",,,,,,
49480,VIRGINIA                 ,KING AND QUEEN,"-7,264","-2,637","-14,143","-10,026","-15,101","-3,386",,,,,,
49490,VIRGINIA                 ,KING GEORGE,"109,107","101,974","39,600","-34,155","-30,658","-27,955",,,,,,
49500,VIRGINIA                 ,KING WILLIAM,"67,521","13,757","9,144","-25,939","-12,685","-2,094",,,,,,
49510,VIRGINIA                 ,LANCASTER,"-29,541","-61,226","-60,853","-82,073","-129,480","-33,210",,,,,,
49520,VIRGINIA                 ,LEE,"-205,226","-862,793","-744,512","-549,436","-263,909","-366,931",,,,,,
49522,VIRGINIA                 ,LEXINGTON CITY,"-65,549","-79,980","-110,536","-175,661","-117,229","-20,695",,,,,,
49530,VIRGINIA                 ,LOUDOUN,"214,484","29,163","-180,293","-89,382","-43,794","-6,520",,,,,,
49540,VIRGINIA                 ,LOUISA,"68,460","22,669","-127,330","-102,334","-162,920","53,856",,,,,,
49550,VIRGINIA                 ,LUNENBURG,"-49,860","-62,166","-23,508","-78,420","-79,525","-74,602",,,,,,
49551,VIRGINIA                 ,LYNCHBURG CITY,"-1,501,226","-1,551,349","-1,699,988","-1,941,369","-216,039","-2,209",,,,,,
49560,VIRGINIA                 ,MADISON,"-42,576","-51,413","-85,048","-111,202","-154,309","-13,771",,,,,,
49561,VIRGINIA                 ,MARTINSVILLE CITY,"-220,949","-205,259","-279,830","-266,867","-296,288","-23,680",,,,,,
49563,VIRGINIA                 ,MANASSAS CITY,"24,029","-105,724","-316,521","-231,684","-283,218","11,584",,,,,,
49565,VIRGINIA                 ,MANASSAS PARK CITY,202,-984,65,358,"-1,756",-153,,,,,,
49570,VIRGINIA                 ,MATHEWS,"-49,827","-64,928","-81,270","-87,550","-104,243","-3,839",,,,,,
49580,VIRGINIA                 ,MECKLENBURG,"-373,283","-415,506","-389,534","-425,406","-391,379","-3,319",,,,,,
