"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
45758,TEXAS                    ,LIMESTONE,"-44,455","-33,719","-40,908",1,"-31,281","-4,561",,,,,,
45759,TEXAS                    ,LIPSCOMB,"3,019","-3,824","-6,744","3,052",486,"-2,624",,,,,,
45760,TEXAS                    ,LIVE OAK,"-9,978","-22,267","-15,118","-4,378","-7,054","-146,285",,,,,,
45761,TEXAS                    ,LLANO,"-21,675","-11,122","-13,688","-70,691","-22,537","-2,510",,,,,,
45762,TEXAS                    ,LOVING,0,0,0,0,0,-74,,,,,,
45770,TEXAS                    ,LUBBOCK,"-548,700","-556,983","-588,530","-446,922","-265,913",0,,,,,,
45771,TEXAS                    ,LYNN,"-9,535","-12,792","-5,837","-22,580","-9,996","-20,127",,,,,,
45772,TEXAS                    ,MCCULLOCH,"-12,780","-45,021","-14,307","-9,410","-24,076",-683,,,,,,
45780,TEXAS                    ,MCLENNAN,"-239,704","-272,669","-354,607","-432,608","-310,876","-6,815",,,,,,
45781,TEXAS                    ,MCMULLEN,0,0,0,"-1,470","2,217","-16,681",,,,,,
45782,TEXAS                    ,MADISON,"-18,567","-14,133","-20,000","-27,375","-8,684",-365,,,,,,
45783,TEXAS                    ,MARION,"-21,444","-12,751","-28,461","-38,921","-34,502",-412,,,,,,
45784,TEXAS                    ,MARTIN,"-1,100","-2,749",-994,"-13,416",588,"-1,626",,,,,,
45785,TEXAS                    ,MASON,"-5,997","-3,539",579,"-8,494","-4,361",-946,,,,,,
45790,TEXAS                    ,MATAGORDA,"7,375","26,890","-5,870","-5,305","-15,265",-625,,,,,,
45791,TEXAS                    ,MAVERICK,"-42,909","-25,095","-40,657","23,898","53,018",0,,,,,,
45792,TEXAS                    ,MEDINA,"-81,550","-130,889","-106,089","-88,971","-33,597","-77,168",,,,,,
45793,TEXAS                    ,MENARD,"-10,460",-681,"3,060","-3,159","-4,715",-608,,,,,,
45794,TEXAS                    ,MIDLAND,"20,499","-31,305","-85,549","-66,251","-63,731","-3,766",,,,,,
45795,TEXAS                    ,MILAM,"-122,003","-89,334","-75,449","-87,310","-44,029","-67,553",,,,,,
45796,TEXAS                    ,MILLS,"-7,488","-3,224","-7,193","-5,450","-2,826","-1,219",,,,,,
45797,TEXAS                    ,MITCHELL,"-12,113","-8,679","-18,473","-1,615","-1,387",-142,,,,,,
45800,TEXAS                    ,MONTAGUE,"-43,486","-45,894","-72,474","-51,469","-45,991",0,,,,,,
45801,TEXAS                    ,MONTGOMERY,"-104,785","-91,165","-75,290","-90,844","-46,919","-1,045",,,,,,
45802,TEXAS                    ,MOORE,"-16,588","-11,608","-8,117","-16,592","-3,713","-9,651",,,,,,
45803,TEXAS                    ,MORRIS,"-11,192","-15,116","-40,392","-32,410","-40,539",-187,,,,,,
45804,TEXAS                    ,MOTLEY,0,"-2,782","-1,264","-5,502",-878,0,,,,,,
45810,TEXAS                    ,NACOGDOCHES,"-133,827","-180,188","-128,593","-76,616","-52,566",-153,,,,,,
45820,TEXAS                    ,NAVARRO,"-68,520","-39,729","-89,682","-137,513","-73,561",-707,,,,,,
45821,TEXAS                    ,NEWTON,"-21,135","-13,270","-7,760","-2,751","-7,087","-1,536",,,,,,
45822,TEXAS                    ,NOLAN,"-17,009","-21,572","-15,261","-26,357","1,692","-1,376",,,,,,
45830,TEXAS                    ,NUECES,"-540,532","-438,708","-309,216","-90,083","132,359","-1,506,613",,,,,,
45831,TEXAS                    ,OCHILTREE,"-5,860","-8,185","-2,455","-4,735","1,017","-1,995",,,,,,
45832,TEXAS                    ,OLDHAM,-89,"-2,077",845,-144,279,"-6,458",,,,,,
45840,TEXAS                    ,ORANGE,"-148,478","-161,952","-153,373","-198,344","-66,507","-5,813",,,,,,
45841,TEXAS                    ,PALO PINTO,"-61,139","-41,333","-58,882","-20,188","-12,395","-53,609",,,,,,
45842,TEXAS                    ,PANOLA,"-34,421","-33,501","-45,417","-41,622","-56,829","-5,469",,,,,,
45843,TEXAS                    ,PARKER,"-81,800","-55,100","-26,834","-23,831","-47,978",-107,,,,,,
45844,TEXAS                    ,PARMER,"1,407","-4,390",371,"-4,427",259,"7,900",,,,,,
45845,TEXAS                    ,PECOS,"-10,722","-12,770","-20,338","-14,473","-5,909",-906,,,,,,
45850,TEXAS                    ,POLK,"-97,219","-110,536","12,721","-76,936","-63,679","-6,629",,,,,,
45860,TEXAS                    ,POTTER,"-257,510","-187,921","-174,026","-248,277","-93,909","-2,681",,,,,,
45861,TEXAS                    ,PRESIDIO,"-6,494","-4,162","-9,297","-6,600","-11,180","-38,091",,,,,,
45870,TEXAS                    ,RAINS,"-18,226","-18,095","-13,660","-26,179","-14,037",-973,,,,,,
45871,TEXAS                    ,RANDALL,"-31,870","-18,017","-22,211","-26,563","-5,055","-25,930",,,,,,
45872,TEXAS                    ,REAGAN,"-7,693","-3,134",-208,-630,"-11,680","-366,675",,,,,,
45873,TEXAS                    ,REAL,"-18,591","-10,535","-12,094","-10,872","3,386","-4,556",,,,,,
45874,TEXAS                    ,RED RIVER,"-47,825","-45,568","-53,931","-42,875","-11,075","-8,167",,,,,,
45875,TEXAS                    ,REEVES,"-17,135","-29,250","-43,125","-24,620","-40,729","-13,388",,,,,,
45876,TEXAS                    ,REFUGIO,"-18,168","-10,777","-13,011","-20,173","-1,591","-6,360",,,,,,
45877,TEXAS                    ,ROBERTS,"-1,235","-3,122",0,-70,-477,-793,,,,,,
45878,TEXAS                    ,ROBERTSON,"-17,695","-40,657","-39,993","-50,783","95,403","-1,575",,,,,,
45879,TEXAS                    ,ROCKWALL,"10,977","-3,250","5,598","-4,196","-4,320",0,,,,,,
45880,TEXAS                    ,RUNNELS,"-19,790","-29,146","-25,363","-18,914","-10,020","-126,029",,,,,,
45881,TEXAS                    ,RUSK,"-57,673","-11,040","-66,632","-84,100","-69,239","-1,353",,,,,,
45882,TEXAS                    ,SABINE,"-26,008","-45,735","-15,048","-16,147","-9,574","-3,859",,,,,,
45883,TEXAS                    ,SAN AUGUSTINE,"-9,251","-22,432","-14,561","-36,839","-1,482","-7,327",,,,,,
45884,TEXAS                    ,SAN JACINTO,"-39,408","-55,191","4,210","-20,686","-9,024","-1,545",,,,,,
45885,TEXAS                    ,SAN PATRICIO,"-79,821","-76,982","-83,844","-31,919","-2,886","-314,793",,,,,,
45886,TEXAS                    ,SAN SABA,"-7,046","-18,897","-2,954","-4,131","-2,140","-2,327",,,,,,
45887,TEXAS                    ,SCHLEICHER,"-2,758","-7,792","-12,373","-9,770","-2,638",-885,,,,,,
45888,TEXAS                    ,SCURRY,"-29,855","-42,463","-32,367","-37,867","-14,264",0,,,,,,
45889,TEXAS                    ,SHACKELFORD,5,234,"-1,240",-942,-331,-807,,,,,,
45890,TEXAS                    ,SHELBY,"-62,021","-72,844","-53,237","-39,890","-14,645","-3,598",,,,,,
45891,TEXAS                    ,SHERMAN,"-1,680",-126,-350,-307,-608,445,,,,,,
45892,TEXAS                    ,SMITH,"-56,153","-20,690","-172,684","-207,364","-208,422","-52,999",,,,,,
45893,TEXAS                    ,SOMERVELL,"-12,712","-7,320","-1,856","-7,788","-6,066","-31,018",,,,,,
45900,TEXAS                    ,STARR,"-347,170","-518,450","-451,055","-442,261","-230,670","-2,341",,,,,,
45901,TEXAS                    ,STEPHENS,"-13,478","-16,594","-10,840","-8,529","-3,644","-40,096",,,,,,
45902,TEXAS                    ,STERLING,"-2,701","-2,149","-21,566",-815,-775,"-13,528",,,,,,
45903,TEXAS                    ,STONEWALL,-804,"-1,482","-4,075","-1,173",-193,-332,,,,,,
45904,TEXAS                    ,SUTTON,"-10,911","-6,878","-5,024","-3,874",-372,"-2,324",,,,,,
45905,TEXAS                    ,SWISHER,"-6,879","-16,854","-10,228","-19,251","-4,904",-608,,,,,,
45910,TEXAS                    ,TARRANT,"953,539","1,251,302","1,211,266","1,834,497","1,427,491",0,,,,,,
45911,TEXAS                    ,TAYLOR,"-149,429","-131,941","-158,874","-166,587","-92,818","-21,938",,,,,,
45912,TEXAS                    ,TERRELL,-702,-987,"-1,237",-154,-543,0,,,,,,
45913,TEXAS                    ,TERRY,"-23,695","-24,480","-42,985","-22,333","-10,807","-1,914,944",,,,,,
45920,TEXAS                    ,THROCKMORTON,"-1,704","-5,748",165,"-7,321","-1,653","-27,022",,,,,,
45921,TEXAS                    ,TITUS,"-27,511","-74,191","-66,906","-33,960","-15,140",0,,,,,,
45930,TEXAS                    ,TOM GREEN,"-368,239","-443,346","-385,145","-295,878","-171,518",-774,,,,,,
45940,TEXAS                    ,TRAVIS,"-18,114","-490,945","-248,339","-343,878","-214,362","-22,814",,,,,,
45941,TEXAS                    ,TRINITY,"-14,386","-39,753","-45,042","-16,017","-17,828",-129,,,,,,
45942,TEXAS                    ,TYLER,"-39,796","-32,802","-38,245","16,563","-22,079","-15,113",,,,,,
45943,TEXAS                    ,UPSHUR,"-47,380","-54,973","-108,332","-112,449","-93,625","-426,344",,,,,,
45944,TEXAS                    ,UPTON,"-5,381","-3,412","-11,302","3,725",-507,"-20,506",,,,,,
45945,TEXAS                    ,UVALDE,"-54,978","-38,520","-76,819","-60,687","-42,665","-3,971",,,,,,
45946,TEXAS                    ,VAL VERDE,"-13,450","-27,411","-32,564","-45,852","-51,669","-12,520",,,,,,
45947,TEXAS                    ,VAN ZANDT,"-60,499","-29,533","-56,763","-78,053","-46,262","-13,594",,,,,,
45948,TEXAS                    ,VICTORIA,"-217,839","-91,494","-172,107","-111,341","-126,501","-7,179",,,,,,
45949,TEXAS                    ,WALKER,"-26,222","-62,662","-31,698","-27,951","-14,315","-5,962",,,,,,
45950,TEXAS                    ,WALLER,"-2,424","-37,544","-12,018","2,133","2,665","-6,448",,,,,,
45951,TEXAS                    ,WARD,"-25,949","-21,748","-28,576","-9,838","-7,140","-18,100",,,,,,
45952,TEXAS                    ,WASHINGTON,"-60,554","-77,984","-59,611","-88,132","-53,420","-2,686",,,,,,
45953,TEXAS                    ,WEBB,"-996,381","-1,058,784","-1,036,170","-1,243,889","-539,869",0,,,,,,
45954,TEXAS                    ,WHARTON,"-34,676","-38,985","-24,636","-28,498","-7,869",-53,,,,,,
45955,TEXAS                    ,WHEELER,13,"-1,309","-7,385","-6,776","-1,163","-3,507",,,,,,
45960,TEXAS                    ,WICHITA,"-493,915","-550,902","-544,974","-575,003","-355,514","-9,396",,,,,,
45961,TEXAS                    ,WILBARGER,"-57,930","-65,137","-53,998","-36,938","-22,349","-1,166",,,,,,
45962,TEXAS                    ,WILLACY,"-160,155","-133,849","-134,979","-180,801","-60,976","-105,802",,,,,,
45970,TEXAS                    ,WILLIAMSON,"102,466","-36,700","-203,185","-183,029","-143,101","-2,294",,,,,,
45971,TEXAS                    ,WILSON,"-56,700","-61,225","-58,010","-42,539","-20,984","-14,057",,,,,,
45972,TEXAS                    ,WINKLER,"-14,780","-17,082","-19,319","-10,909","-2,468","-36,922",,,,,,
45973,TEXAS                    ,WISE,"-16,885","-50,140","-9,160","18,997","12,152","-3,679",,,,,,
45974,TEXAS                    ,WOOD,"-46,307","-66,481","-61,577","-69,934","-42,683","-3,340",,,,,,
45980,TEXAS                    ,YOAKUM,"-5,714","-6,393","-8,468","-9,162","-6,545","-33,565",,,,,,
45981,TEXAS                    ,YOUNG,"-45,879","-61,098","-54,603","-48,128","-28,172","-9,877",,,,,,
45982,TEXAS                    ,ZAPATA,"-82,713","-49,143","-59,479","-50,620","-43,929",0,,,,,,
45983,TEXAS                    ,ZAVALA,"-9,251","-26,153","-42,404",854,"-30,605",0,,,,,,
46000,UTAH                     ,BEAVER,241,835,627,"-1,945","-3,724","-10,573",,,,,,
46010,UTAH                     ,BOX ELDER,"6,148","7,161","-10,794","-12,094","-3,829",-156,,,,,,
46020,UTAH                     ,CACHE,"22,448","41,053","26,783","25,127","18,376","-2,176",,,,,,
46030,UTAH                     ,CARBON,"-4,015","-11,268","94,421","-13,754","-10,731","-9,777",,,,,,
46040,UTAH                     ,DAGGETT,0,484,-329,216,0,-119,,,,,,
46050,UTAH                     ,DAVIS,"60,400","49,181","68,293","25,782","21,464","-16,279",,,,,,
46060,UTAH                     ,DUCHESNE,"-4,279","12,018","3,312","7,614","-10,931","-1,806",,,,,,
46070,UTAH                     ,EMERY,"-5,426",-786,"-2,735","-6,885","-3,708","3,344",,,,,,
46080,UTAH                     ,GARFIELD,"1,274","1,288","1,160",-240,-665,"-2,321",,,,,,
46090,UTAH                     ,GRAND,864,"2,210","4,083","-12,363",146,"-3,323",,,,,,
46100,UTAH                     ,IRON,"-5,427","-1,679","-2,443","-2,691","-5,403","-2,863",,,,,,
46110,UTAH                     ,JUAB,"1,831","2,262","6,321","3,721",3,"-2,324",,,,,,
46120,UTAH                     ,KANE,"-1,975",-68,"4,232","-3,767","-1,682","-30,574",,,,,,
46130,UTAH                     ,MILLARD,605,"-5,643",-935,"1,839",124,"-7,452",,,,,,
46140,UTAH                     ,MORGAN,670,"-7,595",369,-478,666,"1,436",,,,,,
46150,UTAH                     ,PIUTE,124,-886,57,118,"-2,220","-1,032",,,,,,
46160,UTAH                     ,RICH,-490,-316,-14,-957,"-1,433","-5,975",,,,,,
46170,UTAH                     ,SALT LAKE,"263,256","565,243","546,586","470,674","265,809","-48,859",,,,,,
46180,UTAH                     ,SAN JUAN,"3,788","-2,229","3,657","-1,213","-3,433",375,,,,,,
46190,UTAH                     ,SANPETE,"-5,917","1,008","1,749","46,773","-10,113","-1,883",,,,,,
46200,UTAH                     ,SEVIER,593,"-4,401","6,494","-3,772","-7,812","-86,486",,,,,,
46210,UTAH                     ,SUMMIT,"-1,459","4,292","4,573","3,286","-2,431",0,,,,,,
46220,UTAH                     ,TOOELE,"-12,567","10,266","27,577","2,526","-11,590","-3,348",,,,,,
46230,UTAH                     ,UINTAH,"-9,574","-4,991","8,689","-6,992","-5,354","-3,501",,,,,,
46240,UTAH                     ,UTAH,"269,355","320,203","257,123","268,081","66,779",-864,,,,,,
46250,UTAH                     ,WASATCH,"12,005","17,464","65,721","4,932","-1,189",-76,,,,,,
46260,UTAH                     ,WASHINGTON,"-2,764","-11,188","1,151","-8,731","-1,650","-14,541",,,,,,
46270,UTAH                     ,WAYNE,-253,333,"-6,327",269,-593,"-12,976",,,,,,
46280,UTAH                     ,WEBER,"21,386","59,998","18,650","-5,151","-51,596","-15,557",,,,,,
47000,VERMONT                  ,ADDISON,"-37,871","-55,152","-41,333","-38,593","-27,854",-222,,,,,,
47010,VERMONT                  ,BENNINGTON,"-3,734","-33,262","-34,628","-35,773","-76,818","-22,723",,,,,,
47020,VERMONT                  ,CALEDONIA,"-24,044","-32,854","-38,401","-45,785","-64,432","-7,345",,,,,,
47030,VERMONT                  ,CHITTENDEN,"-248,819","-228,765","-200,178","-176,713","-135,169",-512,,,,,,
47040,VERMONT                  ,ESSEX,"-9,017","-10,272","-8,144","-7,143","-13,525",-562,,,,,,
47050,VERMONT                  ,FRANKLIN,"-94,483","-59,600","-79,197","-85,791","-67,985",-757,,,,,,
47060,VERMONT                  ,GRAND ISLE,"-17,465","-12,979","-5,794","-14,365","-2,392","-173,822",,,,,,
47070,VERMONT                  ,LAMOILLE,"-80,687","-100,082","-101,476","-120,124","-83,864",-148,,,,,,
47080,VERMONT                  ,ORANGE,"-16,748","-53,404","-18,531","-42,050","-34,008","-2,657",,,,,,
47090,VERMONT                  ,ORLEANS,"-29,391","-38,667","-26,334","-27,160","-39,678",-774,,,,,,
47100,VERMONT                  ,RUTLAND,"-55,648","-205,185","-87,676","-108,189","-37,202","-7,007",,,,,,
47110,VERMONT                  ,WASHINGTON,"-64,237","-166,743","-68,997","-95,067","-48,903","-8,302",,,,,,
47120,VERMONT                  ,WINDHAM,"-24,556","-38,837","-47,291","-62,258","-51,545","-4,903",,,,,,
47130,VERMONT                  ,WINDSOR,"-17,316","-42,946","-35,400","-65,138","-51,709","-1,222",,,,,,
48010,VIRGIN ISLANDS           ,ST. CROIX,"-6,814","18,368","23,955","10,006","27,147","-116,759",,,,,,
48020,VIRGIN ISLANDS           ,ST. JOHN,"3,954","11,474","-1,210","-21,418","-7,618",-74,,,,,,
49000,VIRGINIA                 ,ACCOMACK,"-16,580","-42,350","-38,499","-6,087","-19,455",0,,,,,,
49010,VIRGINIA                 ,ALBEMARLE,"-9,530","-14,485","-27,990","-40,332","-65,105","-40,903",,,,,,
49011,VIRGINIA                 ,ALEXANDRIA CITY,"26,216","-21,796","-47,519","-30,413","-14,557","-4,257",,,,,,
49020,VIRGINIA                 ,ALLEGHANY,"-3,587","-12,854",214,"-2,234",-230,"-6,563",,,,,,
49030,VIRGINIA                 ,AMELIA,"-13,367","4,547","5,839","-7,198","-7,564","-15,563",,,,,,
49040,VIRGINIA                 ,AMHERST,"-135,279","-161,713","-159,601","-152,644","-21,192",-425,,,,,,
49050,VIRGINIA                 ,APPOMATTOX,"-41,801","-62,687","-73,974","-54,733","-4,569","-3,252",,,,,,
49060,VIRGINIA                 ,ARLINGTON,"24,285","-13,426","-22,481","-24,253",968,0,,,,,,
49070,VIRGINIA                 ,AUGUSTA,"-39,714","-51,620","-37,468","-86,694","-47,765","-48,803",,,,,,
49080,VIRGINIA                 ,BATH,"-8,547","-7,002","-13,451","-12,105","-12,360",0,,,,,,
49088,VIRGINIA                 ,BEDFORD CITY,"-51,618","-80,861","-48,935","-68,147","-30,882","-28,846",,,,,,
49090,VIRGINIA                 ,BEDFORD,"-94,252","-132,274","-136,885","-128,667","-65,794","-2,260",,,,,,
49100,VIRGINIA                 ,BLAND,"-14,279","-23,409","-26,888","-18,115","-8,315","-4,177",,,,,,
49110,VIRGINIA                 ,BOTETOURT,"-21,556","-13,512","-20,475","-25,152","-41,237","-1,114",,,,,,
49111,VIRGINIA                 ,BRISTOL CITY,"-45,711","-50,061","-40,419","-9,429","-13,577",-222,,,,,,
49120,VIRGINIA                 ,BRUNSWICK,"-75,939","-17,698","-54,105","-29,484","-77,162","-1,651",,,,,,
49130,VIRGINIA                 ,BUCHANAN,"-82,749","-76,552","-59,832","-43,673","-7,900","-1,144",,,,,,
49140,VIRGINIA                 ,BUCKINGHAM,"-2,570","-8,931","-8,025","-16,636","-17,743","-2,258",,,,,,
49141,VIRGINIA                 ,BUENA VISTA CITY,"-6,314","-13,762","-8,987","-17,861","-9,726","-1,566",,,,,,
49150,VIRGINIA                 ,CAMPBELL,"-189,837","-216,900","-226,850","-230,302","-21,544",0,,,,,,
49160,VIRGINIA                 ,CAROLINE,"29,222","37,062","1,274","7,674","-33,546","-47,961",,,,,,
49170,VIRGINIA                 ,CARROLL,"-22,566","-34,170","-46,821","-37,228","-31,200","-10,333",,,,,,
49180,VIRGINIA                 ,CHARLES CITY,"-6,086","-15,883","7,777","-1,574","-6,855","-1,290",,,,,,
49190,VIRGINIA                 ,CHARLOTTE,"-26,331","-51,027","-34,778","-33,308","-13,237","-12,924",,,,,,
49191,VIRGINIA                 ,CHARLOTTESVILLE CITY,"15,102","-13,733","-21,132","-105,732","-142,036","-3,659",,,,,,
49194,VIRGINIA                 ,CHESAPEAKE CITY,"1,855","22,375","31,137","-57,825","-66,789","-1,293",,,,,,
49200,VIRGINIA                 ,CHESTERFIELD,"-58,860","12,401","-84,609","-64,651","-221,056","-9,788",,,,,,
49210,VIRGINIA                 ,CLARKE,-180,"-2,877","-5,834","-1,021",-972,"-19,608",,,,,,
49212,VIRGINIA                 ,COLONIAL HEIGHTS CITY,"-16,386","-10,074","-43,093","-10,581","7,261","-1,609",,,,,,
49213,VIRGINIA                 ,COVINGTON CITY,"-9,372","-62,734","-35,876","-11,206","-37,319",-253,,,,,,
49220,VIRGINIA                 ,CRAIG,98,"-6,056","-7,050","-7,967","-11,333","-1,721",,,,,,
49230,VIRGINIA                 ,CULPEPER,"-7,509","-25,306","-46,158","-77,822","-49,358",-238,,,,,,
49240,VIRGINIA                 ,CUMBERLAND,"-3,553","-1,683","-3,102","-26,473","-5,570","-5,685",,,,,,
49241,VIRGINIA                 ,DANVILLE CITY,"-220,750","-191,768","-279,258","-217,030","-170,599",-148,,,,,,
49250,VIRGINIA                 ,DICKENSON,"-95,725","-51,580","-51,830","-16,310","-28,632","-51,128",,,,,,
49260,VIRGINIA                 ,DINWIDDIE,"-42,696","-37,286","-42,317","-64,929","-33,710","-3,888",,,,,,
49270,VIRGINIA                 ,EMPORIA CITY,"-54,161","-44,330","-39,413","-45,141","-28,930","-39,703",,,,,,
